[2026-06-01 10:13:46] === Sniffer Started ===
[2026-06-01 10:16:30] TCP  | 34.107.243.93:443 --> 192.168.146.128:50032
[2026-06-01 10:16:30] TCP  | 192.168.146.128:50032 --> 34.107.243.93:443
[2026-06-01 10:16:30] UDP  | 192.168.146.128:51956 --> 192.168.146.2:53
[2026-06-01 10:16:30] UDP  | 192.168.146.128:51956 --> 192.168.146.2:53
[2026-06-01 10:16:30] UDP  | 192.168.146.2:53 --> 192.168.146.128:52132
[2026-06-01 10:16:31] UDP  | 192.168.146.2:53 --> 192.168.146.128:51956
[2026-06-01 10:16:31] UDP  | 192.168.146.2:53 --> 192.168.146.128:51956
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:31] TCP  | 192.168.146.128:35830 --> 34.107.221.82:80
[2026-06-01 10:16:31] TCP  | 34.107.221.82:80 --> 192.168.146.128:35830
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42868 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:31] TCP  | 34.107.221.82:80 --> 192.168.146.128:35830
[2026-06-01 10:16:31] TCP  | 192.168.146.128:35830 --> 34.107.221.82:80
[2026-06-01 10:16:31] UDP  | 192.168.146.1:62533 --> 239.255.255.250:1900
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42868
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42868 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42868 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42868
[2026-06-01 10:16:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42868
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42868 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42868
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42868 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42868
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42868 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42868 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42868
[2026-06-01 10:16:31] TCP  | 146.75.89.91:443 --> 192.168.146.128:42856
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
[2026-06-01 10:16:31] TCP  | 192.168.146.128:42856 --> 146.75.89.91:443
